County, FIPS,Value (Dollars),Rank within US (of 3142 counties)
United States,0,"75,149",N/A
Washington,53000,"90,325",8 of 52
Whitman County,53075,"49,345","2,579"
Ferry County,53019,"50,424","2,515"
Garfield County,53023,"57,958","1,869"
Okanogan County,53047,"58,218","1,843"
Pacific County,53049,"58,889","1,770"
Grays Harbor County,53027,"59,105","1,746"
Wahkiakum County,53069,"59,167","1,739"
Pend Oreille County,53051,"59,353","1,728"
Stevens County,53065,"62,381","1,424"
Adams County,53001,"63,105","1,363"
Asotin County,53003,"63,724","1,316"
Jefferson County,53031,"64,796","1,223"
Yakima County,53077,"64,910","1,216"
Clallam County,53009,"66,108","1,128"
Grant County,53025,"66,387","1,095"
Klickitat County,53039,"66,581","1,078"
Walla Walla County,53071,"66,635","1,071"
Kittitas County,53037,"66,800","1,055"
Lewis County,53041,"67,247","1,023"
Lincoln County,53043,"68,172",953
Columbia County,53013,"68,825",912
Spokane County,53063,"70,394",799
Cowlitz County,53015,"70,912",765
Chelan County,53007,"71,876",708
Mason County,53045,"74,388",605
San Juan County,53055,"76,745",515
Whatcom County,53073,"77,581",483
Franklin County,53021,"77,877",472
Douglas County,53017,"79,422",423
Skagit County,53057,"82,029",351
Island County,53029,"82,850",323
Benton County,53005,"83,778",304
Skamania County,53059,"84,500",283
Thurston County,53067,"88,895",226
Clark County,53011,"90,115",212
Pierce County,53053,"91,486",199
Kitsap County,53035,"93,675",171
Snohomish County,53061,"104,083",92
King County,53033,"116,340",43
